epoch,train_loss,train_acc,val_loss,val_acc
0,,,1.5964839458465576,22.8515625
0,,,1.553428053855896,33.587890625
1,1.417425513267517,40.55817794799805,1.6475287675857544,33.55318069458008
2,1.0901355743408203,58.122745513916016,1.7371677160263062,32.794132232666016
3,0.9100825786590576,66.41905212402344,1.825458288192749,33.18985366821289
4,0.7489912509918213,73.60455322265625,1.9203208684921265,32.2155876159668
5,0.6182222366333008,78.65870666503906,2.054844856262207,33.5392951965332
6,0.516714870929718,82.72702026367188,2.180302619934082,31.912431716918945
7,0.4268046021461487,86.21910858154297,2.304719924926758,31.63704490661621
8,0.37327316403388977,87.91307830810547,2.3914215564727783,32.710819244384766
