epoch,train_loss,train_acc,val_loss,val_acc
0,,,1.6012399196624756,31.4453125
0,,,1.4639825820922852,41.877254486083984
1,1.466538429260254,37.90613555908203,1.481123685836792,39.97037887573242
2,1.1240270137786865,57.782562255859375,1.564192771911621,39.11644744873047
3,0.8940441012382507,67.6062240600586,1.6423643827438354,38.264835357666016
4,0.7557214498519897,73.16717529296875,1.714985728263855,37.482643127441406
5,0.6480087041854858,77.70758056640625,1.7928141355514526,38.83412170410156
6,0.5541364550590515,81.5190200805664,1.858422040939331,39.20207214355469
7,0.49308422207832336,83.56011962890625,1.9549129009246826,38.6767578125
8,0.4262382388114929,85.8858642578125,1.9822016954421997,39.049339294433594
