epoch,train_loss,val_loss,train_acc,val_acc
0,1.5684500932693481,1.6129379272460938,33.95584487915039,14.0625
0,1.4101990461349487,1.5842138528823853,44.64731979370117,25.280014038085938
1,1.1954447031021118,1.5293713808059692,56.81060791015625,31.667129516601562
2,1.0159648656845093,1.5556039810180664,65.21105194091797,33.29167938232422
3,0.8859632611274719,1.6299761533737183,70.13329315185547,34.52744674682617
4,0.7910990715026855,1.758491039276123,73.18800354003906,34.6871223449707
5,0.7080720067024231,1.8509759902954102,76.11080169677734,35.274925231933594
6,0.6435320973396301,1.961462378501892,78.39488983154297,35.61279296875
7,0.5791237950325012,2.0420992374420166,81.1371841430664,36.158935546875
8,0.5215766429901123,2.1468505859375,83.69203186035156,35.73775863647461
9,0.470564067363739,2.25758957862854,86.23993682861328,35.60585021972656
10,0.4303984045982361,2.3706984519958496,88.04499053955078,36.17513656616211
11,0.3860186040401459,2.483847141265869,90.43321228027344,36.348697662353516
12,0.3540709614753723,2.6076226234436035,91.31491088867188,35.84652328491211
13,0.32405391335487366,2.694265365600586,92.30075073242188,35.67064666748047
14,0.2981950640678406,2.787595748901367,93.34906768798828,35.95991897583008
15,0.27331796288490295,2.851691484451294,94.44598388671875,35.79792785644531
16,0.25361374020576477,2.9398701190948486,95.04304504394531,35.49708557128906
17,0.2389865666627884,3.0089378356933594,95.5776138305664,35.432289123535156
18,0.220830500125885,3.059967517852783,96.01499938964844,35.90900802612305
19,0.20849262177944183,3.1121678352355957,96.32740783691406,35.51559829711914
20,0.1990704983472824,3.1624855995178223,96.62593841552734,35.230953216552734
21,0.18396255373954773,3.238830804824829,97.0355453491211,35.26566696166992
22,0.17556312680244446,3.264230728149414,97.22993469238281,35.47163009643555
23,0.1695719063282013,3.3159091472625732,97.4382095336914,35.37443161010742
24,,3.335623025894165,,35.24252700805664
