epoch,train_loss,train_acc,val_loss,val_acc
0,,,1.622814655303955,18.75
0,,,1.5494383573532104,34.32148361206055
1,1.4345203638076782,39.8847541809082,1.6013039350509644,34.326114654541016
2,1.126313328742981,55.9080810546875,1.6583664417266846,35.149959564208984
3,0.9201229214668274,66.44682312011719,1.743173360824585,35.23789596557617
4,0.7559223175048828,73.9725112915039,1.7867377996444702,36.46672058105469
5,0.6258456707000732,78.86698150634766,1.8419333696365356,37.216514587402344
6,0.5373197197914124,82.00499725341797,1.9087042808532715,37.473388671875
7,0.46045929193496704,84.7264633178711,2.008369207382202,36.36952590942383
8,0.4029605984687805,86.89947509765625,2.107818841934204,36.75830841064453
9,0.34267130494117737,88.80866241455078,2.1954214572906494,36.96195602416992
10,0.30620408058166504,90.15550994873047,2.258728504180908,36.73748016357422
11,0.2781171202659607,91.02332305908203,2.327329158782959,37.55900955200195
12,0.24568800628185272,92.3424072265625,2.527301549911499,37.49652862548828
13,0.22293420135974884,93.07136535644531,2.523324728012085,37.693233489990234
14,0.19551727175712585,94.11968994140625,2.6083521842956543,36.97121047973633
15,0.19663822650909424,93.9183578491211,2.6989669799804688,36.78144836425781
16,0.17466287314891815,94.64732360839844,2.777254819869995,35.957603454589844
17,0.16220271587371826,94.97361755371094,2.821106433868408,36.79764938354492
18,0.1540984809398651,95.31380462646484,2.8598501682281494,36.45746612548828
19,0.14696170389652252,95.39016723632812,2.881093978881836,36.04322814941406
20,0.13185082376003265,96.0497055053711,2.94197678565979,36.897159576416016
21,0.12744101881980896,96.13996124267578,2.967419385910034,36.68656921386719
