epoch,train_loss,val_loss,train_acc,val_acc
0,1.552736520767212,1.6119122505187988,29.512636184692383,22.8515625
0,1.3474376201629639,1.5549629926681519,47.20216751098633,27.198463439941406
1,1.1911180019378662,1.6201958656311035,52.8950309753418,31.866147994995117
2,1.0732563734054565,1.6487135887145996,57.40072250366211,32.35212326049805
3,0.9616372585296631,1.6721519231796265,60.996944427490234,32.63445281982422
4,0.8611002564430237,1.7034826278686523,65.70397186279297,33.18985366821289
5,0.7671363353729248,1.7285162210464478,70.3068618774414,34.12709426879883
6,0.6806634664535522,1.7931506633758545,74.89585876464844,33.016292572021484
7,0.602206289768219,1.872193694114685,80.15828704833984,33.715171813964844
8,0.528227686882019,1.9010953903198242,83.698974609375,33.86559295654297
9,0.4685170650482178,2.0122904777526855,86.42738342285156,34.738037109375
10,0.4166356027126312,2.0827255249023438,88.64898681640625,35.80718231201172
11,0.37555715441703796,2.1803488731384277,90.25965118408203,35.20318603515625
12,0.34443214535713196,2.2597787380218506,91.49541473388672,36.08256912231445
13,0.30906257033348083,2.3453192710876465,92.85614776611328,35.32352066040039
14,0.285949170589447,2.417167901992798,93.68231201171875,34.930110931396484
15,0.2650601863861084,2.491741180419922,94.34879302978516,34.34693908691406
16,0.2477424442768097,2.5262303352355957,95.00833129882812,34.22660446166992
17,0.2301851361989975,2.556976795196533,95.45265197753906,34.70332336425781
18,0.21464920043945312,2.6345303058624268,96.24410247802734,34.180320739746094
19,0.207040473818779,2.6584436893463135,96.23021697998047,33.15977096557617
20,0.19574551284313202,2.7108852863311768,96.66065216064453,34.07386779785156
21,0.18319109082221985,2.696272373199463,97.07025909423828,34.01369857788086
22,0.17746742069721222,2.7677459716796875,97.18133544921875,33.51152420043945
23,0.16812090575695038,2.7777206897735596,97.4729232788086,33.75682830810547
24,,2.736163854598999,,34.36082458496094
