epoch,train_loss,val_loss,train_acc,val_acc
0,0.9890324473381042,1.613552212715149,68.5018081665039,24.8046875
0,0.35591593384742737,1.7254626750946045,95.70952606201172,26.566694259643555
1,0.12938661873340607,2.043558120727539,99.61122131347656,29.274274826049805
2,0.060088157653808594,2.259502649307251,99.93751525878906,29.630659103393555
3,0.034774549305438995,2.431009292602539,99.99305725097656,28.68878936767578
4,0.02518007531762123,2.5616767406463623,99.99305725097656,28.397205352783203
5,0.02075938880443573,2.5981929302215576,100.0,28.001482009887695
6,0.018371572718024254,2.64859676361084,99.99305725097656,26.450984954833984
7,0.015137063339352608,2.7141058444976807,100.0,26.61760711669922
8,0.013896194286644459,2.7626514434814453,99.98611450195312,27.284088134765625
9,0.012728805653750896,2.7815892696380615,99.98611450195312,27.198463439941406
10,0.01161275990307331,2.7900969982147217,99.99305725097656,27.029529571533203
11,0.010796432383358479,2.82357120513916,100.0,27.27945899963379
12,0.010300571098923683,2.8522989749908447,100.0,27.19383430480957
13,0.00972377322614193,2.8911948204040527,99.99305725097656,27.098953247070312
14,0.009328650310635567,2.850041389465332,100.0,26.798110961914062
15,0.009178197011351585,2.901393175125122,100.0,26.66620445251465
16,0.00877365656197071,2.891998052597046,100.0,26.059890747070312
17,0.009118599817156792,2.897430896759033,99.99305725097656,26.663888931274414
18,0.008777453564107418,2.901808738708496,99.98611450195312,27.129037857055664
19,0.008740118704736233,2.8940999507904053,99.99305725097656,26.663888931274414
20,0.008403927087783813,2.900484085083008,100.0,26.402387619018555
21,0.0080366600304842,2.8952536582946777,100.0,27.189207077026367
22,0.008156399242579937,2.9016082286834717,99.99305725097656,27.041099548339844
23,0.008108805865049362,2.9017257690429688,100.0,26.71711540222168
24,,2.9005465507507324,,27.004072189331055
